,,Value
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,39
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,38
,,39
,,38
,,49
,,39
,,39
,,54
,,38
,,79
,,66
,,39
,,127
,,39
,,44
,,87
,,63
,,69
,,68
,,75
,,166
,,92
,,64
,,94
,,38
,,117
,,176
,,38
,,197
,,68
,,108
,,164
,,109
,,175
,,152
,,146
,,173
,,166
,,79
,,203
,,81
,,131
,,182
,,93
,,193
,,137
,,87
,,129
,,202
,,133
,,39
,,196
,,303
,,122
,,100
,,195
,,162
,,88
,,209
,,185
,,133
,,121
,,37
,,239
,,38
,,182
,,343
,,38
,,264
,,58
,,144
,,136
,,82
,,153
,,264
,,88
,,258
,,120
,,73
,,168
,,160
,,172
,,183
,,85
,,74
,,80
,,51
,,153
,,40
,,116
,,100
,,83
,,137
,,104
,,123
,,234
,,76
,,102
,,111
,,38
,,60
,,209
,,39
,,108
,,110
,,114
,,132
,,152
,,200
,,110
,,161
,,268
,,159
,,252
,,146
,,38
,,269
,,100
,,303
,,38
,,163
,,152
,,76
,,109
,,167
,,121
,,79
,,206
,,118
,,39
,,126
,,219
,,93
,,197
,,167
,,211
,,187
,,107
,,263
,,176
,,182
,,106
,,39
,,175
,,97
,,114
,,233
,,114
,,137
,,207
,,46
,,97
,,39
,,194
,,223
,,139
,,54
,,121
,,38
,,191
,,146
,,92
,,99
,,38
,,130
,,66
,,68
,,208
,,143
,,84
,,193
,,160
,,170
,,147
,,53
,,199
,,128
,,77
,,236
,,153
,,171
,,112
,,118
,,204
,,90
,,114
,,218
,,120
,,132
,,168
,,63
,,222
,,99
,,139
,,166
,,105
,,158
,,152
,,87
,,219
,,124
,,124
,,207
,,99
,,156
,,146
,,77
,,198
,,98
,,109
,,181
,,117
,,156
,,163
,,93
,,185
,,94
,,68
,,217
,,117
,,141
,,143
,,132
,,192
,,100
,,113
,,180
,,103
,,143
,,182
,,99
,,157
,,170
,,99
,,205
,,110
,,95
,,188
,,54
,,196
,,183
,,125
,,154
,,64
,,98
,,204
,,102
,,183
,,106
,,90
,,161
,,109
,,145
,,162
,,79
,,199
,,125
,,108
,,239
,,95
,,162
,,188
,,87
,,196
,,150
,,108
,,182
,,130
