Step Number,Mean,Std Deviation,Std Error
0,-0.00021322413958623334,0.06477799847313867,0.0003173486244351058
1,-0.0006970991695867134,0.06384584151696783,0.00031278197009611605
2,-0.00024914544232707724,0.06467102872262355,0.00031682457762936486
3,-0.00021410490567849084,0.06420572238431324,0.00031454503318705017
4,-0.00030650588009408143,0.06339037275275619,0.00031055062011305567
